mCherry.A.Comp.FITC.A,file
2.141965,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.457878,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.939375,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.496975,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
3.082648,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.323376,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.315448,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.964329,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.189946,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.761454,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.622049,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.149294,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.874195,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.799803,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
3.004585,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.815938,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.56601,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.905394,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.933877,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.7138,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.673828,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.804171,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.388029,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
